Aalborg,Denmark___+57.09700___+9.85000
Willcox,AZ___+32.25000___-109.83300
Williston,ND___+48.14830___-103.62200
Wilmington,DE___+39.74610___-75.54750
Wilmington,NC___+34.23670___-77.92330
Winchester,ID___+46.23300___-116.65000
Winchester,KY___+38.00000___-84.25000
Winchester,NH___+42.75000___-72.41700
Winchester,VA___+39.16700___-78.16700
Windam,CT___+41.75000___-72.08300
Windsor,ON___+42.28300___-82.96700
Winnemucca,NV___+40.10000___-119.11700
Winner,SD___+43.36700___-99.83300
Winnett,MT___+47.01700___-108.33300
Winnfield,LA___+31.93300___-92.65000
Winnipeg,MB___+49.90000___-97.13000
Winona,MN___+44.05000___-91.66700
Winona,MS___+33.48300___-89.71700
Winooski,VT___+44.50000___-73.16700
Winsted,CT___+41.91700___-73.08300
Winston-Salem,NC___+36.09780___-80.24500
Wolphaartsdijk,Neth.___+51.53330___+3.89860
Woodland_Hills,CA___+34.15030___-118.59000
Woodsville,NH___+44.16700___-72.00000
Woodward,OK___+36.41700___-99.40000
Woonsocket,RI___+42.00000___-71.50000
Woonsocket,SD___+44.05000___-98.28300
Worcester,MA___+42.26030___-71.80470
Wotje,Marshall_Is.___+9.46670___+170.23330
Wright-Patterson_AFB___+39.83330___-84.05000
Wurzburg,Germany___+49.82000___+9.89100
Wynnewood,PA___+40.01000___-75.17990
Wyoming,MI___+42.89670___-85.70670
Wytheville,VA___+36.91700___-81.10000
Yakima,WA___+46.59500___-120.51300
Yakutat,AK___+59.53300___-139.58300
Yalta,Ukraine___+44.48330___+34.20000
Yankton,SD___+42.87500___-97.39000
Yap_Island,Micronesia___+9.49750___+138.08940
Yardley,PA___+40.21100___-74.77600
Yellowknife,NWT___+62.48000___-114.42000
Yonkers,NY___+40.93190___-73.89830
York,PA___+39.95970___-76.72670
Yorktown_Heights,NY___+41.33330___-73.76670
Youngstown,OH___+41.09920___-80.65050
Yuba_City,CA___+39.13300___-121.63300
Yuma,AZ___+32.71500___-114.62300
Yuma,CO___+40.13300___-102.83300
Zanesville,OH___+39.93830___-82.00830
Zaragoza,Spain___+41.66670___-1.05000
Zurich,Switzerland___+47.36670___+8.53330
Zwickau,Germany___+50.70000___+12.50000
